a,b,c,mask_color
1,0,32767,1
2,1,32767,1
3,2,32767,1
5,4,32767,2
6,5,32767,2
7,6,32767,2
9,8,32767,3
10,9,32767,3
11,10,32767,3
13,12,32767,4
14,13,32767,4
15,14,32767,4
17,16,32767,5
18,17,32767,5
19,18,33,5
26,21,20,6
25,26,21,6
25,22,21,6
25,27,22,6
27,22,23,6
20,29,28,6
21,20,29,6
21,30,29,6
22,21,30,6
22,23,30,6
23,30,31,6
19,33,24,6
16,32,32767,5
