a,b,c,mask_color
1,0,32767,7
2,1,32767,7
3,2,32767,7
5,4,32767,8
6,5,32767,8
7,6,32767,8
9,8,32767,9
10,9,32767,9
11,10,32767,9
13,12,32767,10
14,13,32767,10
15,14,32767,10
17,16,32767,11
18,17,32767,11
19,18,33,11
26,21,20,12
25,26,21,12
25,22,21,12
25,27,22,12
27,22,23,12
20,29,28,12
21,20,29,12
21,30,29,12
22,21,30,12
22,23,30,12
23,30,31,12
19,33,24,12
16,32,32767,11
